"No.","Time","Source","Destination","Protocol","Length","Info","rate"
"3926","2.971179","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3928","2.972778","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3930","2.973561","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3932","2.974317","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3934","2.975082","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3936","2.975874","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3938","2.976631","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3940","2.977396","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3942","2.978143","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3944","2.978709","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3946","2.979456","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3948","2.980004","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3950","2.980769","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3952","2.981525","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3954","2.982969","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3956","2.983779","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3958","2.984607","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3960","2.985372","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3962","2.986155","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3964","2.986712","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"3966","2.987486","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3968","2.988233","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3970","2.988989","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"3972","2.989565","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
